Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,name,Latitude,Longitude,Level,Node
active,1,02,bba30819-d7b3-4083-8d2d-c95b13849ce4,bd-roomI-30,bin,roomII,null,node29,29,0,1,root
active,1,02,c1acf9c7-26e9-44e0-9502-a980c68dc92d,bd-roomI-31,empty,roomII,null,node30,30,0,1,root
active,1,02,9c30930d-abb0-4318-adb7-5c0a498f32de,bd-roomI-32,stairs,roomII,null,node31,31,0,1,root
active,1,02,6dad4ddd-3c7e-460a-8da5-f2f0492a12ef,bd-roomI-33,stairs,roomII,null,node32,32,0,1,root
active,1,02,72acaa49-59d9-4de8-af39-8f777db4e515,bd-roomI-34,path,roomII,null,node33,0,1,1,root
active,1,02,8ef89cc1-4ce6-42d7-8000-0cdbef3b1604,bd-roomI-35,path,roomII,null,node34,1,1,1,root
active,1,02,4831663e-90d0-4e71-b99f-84a54f073300,bd-roomI-36,path,roomII,null,node35,2,1,1,root
active,1,02,9a9515d4-183f-4e7f-8690-a87339267afd,bd-roomI-37,path,roomII,null,node36,3,1,1,root
active,1,02,a474e863-c0ee-47ce-ba11-6126df4761e8,bd-roomI-38,path,roomII,null,node37,4,1,1,root
active,1,02,e8f2c81e-5161-4bc9-9799-e4d7b1cc5a0b,bd-roomI-39,path,roomII,null,node38,5,1,1,root
active,1,02,d5f33a45-581b-4e0c-a364-f1fc99b709af,bd-roomI-40,path,roomII,null,node39,6,1,1,root
active,1,02,de84217c-d087-49b7-86af-c11b8012f0ff,bd-roomI-41,path,roomII,null,node40,7,1,1,root
active,1,02,27daad93-1acc-406a-a0d0-b69b7c71fee2,bd-roomI-42,path,roomII,null,node41,8,1,1,root
active,1,02,9cbbad33-0507-4ab5-98c4-0023b378b46b,bd-roomI-43,path,roomII,null,node42,9,1,1,root
active,1,02,94a2e799-3d16-4c4e-9b49-4dd2b879cea4,bd-roomI-44,path,roomII,null,node43,10,1,1,root
active,1,02,7063748b-3fd0-40c5-8dd9-1e13c7bac8f5,bd-roomI-45,path,roomII,null,node44,11,1,1,root
active,1,02,0e34d232-080b-40c9-b031-e4719b4a9770,bd-roomI-46,path,roomII,null,node45,12,1,1,root
active,1,02,926ffd04-2e5b-4c97-8e13-0fd30c4c56b7,bd-roomI-47,path,roomII,null,node46,13,1,1,root
active,1,02,a63a150d-7f27-4fba-a042-beda234f5f25,bd-roomI-48,path,roomII,null,node47,14,1,1,root
active,1,02,31019854-829c-458a-8eaf-e62caf48e055,bd-roomI-49,path,roomII,null,node48,15,1,1,root
active,1,02,f29ae987-d205-4f04-be7b-d7afb0a386c0,bd-roomI-50,path,roomII,null,node49,16,1,1,root
active,1,02,edc566da-9de6-4a22-9b02-630ecb285edb,bd-roomI-51,path,roomII,null,node50,17,1,1,root
active,1,02,e1ddb6b8-6708-4519-8fb3-cb13fa4c6f39,bd-roomI-52,path,roomII,null,node51,18,1,1,root
active,1,02,6260289d-4508-46e6-8978-daf31f41b66f,bd-roomI-53,path,roomII,null,node52,19,1,1,root
active,1,02,ffdd34b7-57d2-44ec-8368-050ea82aba69,bd-roomI-54,path,roomII,null,node53,20,1,1,root
active,1,02,fc5e9ab1-f3e3-4183-82de-d71eb9adba43,bd-roomI-55,path,roomII,null,node54,21,1,1,root
active,1,02,2583303c-bae9-45cf-b331-8958c44eee88,bd-roomI-56,path,roomII,null,node55,22,1,1,root
active,1,02,e2002714-6350-4763-9057-e74d9d0e54ef,bd-roomI-57,path,roomII,null,node56,23,1,1,root
active,1,02,7d169ced-4c39-4ae1-aad4-150742f49685,bd-roomI-58,path,roomII,null,node57,24,1,1,root
active,1,02,0656529e-5f10-4520-ba7d-839633ac211e,bd-roomI-59,path,roomII,null,node58,25,1,1,root
active,1,02,6c36c8df-a0b4-4855-9c32-ef98df054b49,bd-roomI-60,path,roomII,null,node59,26,1,1,root
active,1,02,cb427a53-205a-4c6a-9117-41a83e877200,bd-roomI-61,path,roomII,null,node60,27,1,1,root
active,1,02,045e7c4f-f6c9-40c7-b817-8e43b3045814,bd-roomI-62,path,roomII,null,node61,28,1,1,root
active,1,02,abed95d1-00fc-4097-a9c0-1e7e01ef0a5c,bd-roomI-63,path,roomII,null,node62,29,1,1,root
active,1,02,e3d2c9f8-62f8-4608-98be-62315c52db01,bd-roomI-64,path,roomII,null,node63,30,1,1,root
active,1,02,8c6b913d-3147-4772-bd12-2ff6f0b6fdcf,bd-roomI-65,path,roomII,null,node64,31,1,1,root
active,1,02,091b5b8e-3427-474f-933c-0afe465cf9b7,bd-roomI-66,path,roomII,null,node65,32,1,1,root
active,1,02,e59ddf19-b1ef-4b63-97cf-b1588a69d27a,bd-roomI-67,path,roomII,null,node66,0,2,1,root
active,1,02,9890b6b2-eca1-42c3-9d4c-69076e49df2e,bd-roomI-68,bin,roomII,null,node67,1,2,1,root
active,1,02,49c45e5d-d7e5-43ef-a746-5945d2c3fa2e,bd-roomI-69,bin,roomII,null,node68,2,2,1,root
active,1,02,56e4b9e9-45b6-4ba3-8620-94516fae5919,bd-roomI-70,bin,roomII,null,node69,3,2,1,root
active,1,02,cfb67f47-f69c-4919-b0ea-b7a1cf206911,bd-roomI-71,bin,roomII,null,node70,4,2,1,root
active,1,02,01bd517a-38d3-4cb5-940f-38fe287fe344,bd-roomI-72,bin,roomII,null,node71,5,2,1,root
active,1,02,eb697238-891a-488e-abe9-b84be6fc5c26,bd-roomI-73,bin,roomII,null,node72,6,2,1,root
active,1,02,41880884-87e4-4fca-a802-7131fcaeb8b0,bd-roomI-74,bin,roomII,null,node73,7,2,1,root
active,1,02,1b8a82cf-ca82-4bde-a528-b8b55a255966,bd-roomI-75,bin,roomII,null,node74,8,2,1,root
active,1,02,15d5619e-badd-4217-a712-2209c94dca66,bd-roomI-76,bin,roomII,null,node75,9,2,1,root
active,1,02,08ed072c-8be7-46a8-97d3-dce7f38c6a18,bd-roomI-77,bin,roomII,null,node76,10,2,1,root
active,1,02,a40dd19b-9f5d-4160-aed3-a84ec69f27e3,bd-roomI-78,bin,roomII,null,node77,11,2,1,root
active,1,02,c50d515e-5d99-4111-b6f8-5347ed61a140,bd-roomI-79,bin,roomII,null,node78,12,2,1,root
active,1,02,91841728-ad4a-4f46-a3c6-a576d9cb5d80,bd-roomI-80,bin,roomII,null,node79,13,2,1,root
active,1,02,73a37986-c873-4b29-b199-1ed39ce72905,bd-roomI-81,bin,roomII,null,node80,14,2,1,root
active,1,02,73681499-6a93-47de-98cb-0760303990fe,bd-roomI-82,bin,roomII,null,node81,15,2,1,root
active,1,02,08146b2d-cc74-4800-b342-ca78832eb926,bd-roomI-83,bin,roomII,null,node82,16,2,1,root
active,1,02,499cd566-3e54-4177-9b63-af74383766e2,bd-roomI-84,path,roomII,null,node83,17,2,1,root
active,1,02,6c6f9a4d-7fd1-417a-bef4-22c78f2d6956,bd-roomI-85,bin,roomII,null,node84,18,2,1,root
active,1,02,47e013d7-f08f-4210-85f2-1ffd532f7fb9,bd-roomI-86,bin,roomII,null,node85,19,2,1,root
active,1,02,252f5a20-50c0-4825-ac3b-ed77c6211aea,bd-roomI-87,bin,roomII,null,node86,20,2,1,root
active,1,02,bf0513b0-165f-42ee-a505-715366c86049,bd-roomI-88,bin,roomII,null,node87,21,2,1,root
active,1,02,6ec3eac1-a758-427a-a603-bb89e15031b7,bd-roomI-89,bin,roomII,null,node88,22,2,1,root
active,1,02,83e950d6-4764-44ce-94ac-a0d6c6ce29e7,bd-roomI-90,bin,roomII,null,node89,23,2,1,root
active,1,02,b796c843-25ae-47ed-8ce2-f1e566ffcd33,bd-roomI-91,bin,roomII,null,node90,24,2,1,root
active,1,02,d36844ca-b80a-4a77-9563-176030bfa557,bd-roomI-92,bin,roomII,null,node91,25,2,1,root
active,1,02,207296ae-8e28-47a8-8fc0-d1e9cbc6b570,bd-roomI-93,bin,roomII,null,node92,26,2,1,root
active,1,02,93abb2ba-f455-45f0-b530-57086ddb0322,bd-roomI-94,bin,roomII,null,node93,27,2,1,root
active,1,02,335b6055-10b7-4654-91e3-911768fe7789,bd-roomI-95,bin,roomII,null,node94,28,2,1,root
active,1,02,52ebc462-2c70-451e-8eae-9a8099a18923,bd-roomI-96,bin,roomII,null,node95,29,2,1,root
active,1,02,6b1944d2-93a4-4c1b-8b96-7c0c5273f474,bd-roomI-97,bin,roomII,null,node96,30,2,1,root
active,1,02,aa12b1de-97df-455b-898d-e20bbb9a0154,bd-roomI-98,bin,roomII,null,node97,31,2,1,root
active,1,02,32dfb7e6-856a-4b0b-b5c7-1d6bb4658673,bd-roomI-99,path,roomII,null,node98,32,2,1,root
active,1,02,bb1c42f6-b6f7-4a48-8cbb-6ea04de18cf7,bd-roomI-100,path,roomII,null,node99,0,3,1,root
active,1,02,a68eb94f-cc22-4d69-9e0c-3d5271721633,bd-roomI-101,bin,roomII,null,node100,1,3,1,root
active,1,02,9a193963-ad4a-48a9-b431-9215692195a8,bd-roomI-102,bin,roomII,null,node101,2,3,1,root
active,1,02,1796fdbc-ecbb-43bb-a090-b8ca9a2820a1,bd-roomI-103,bin,roomII,null,node102,3,3,1,root
active,1,02,2f005d6a-d342-4632-ac0b-9456980573c5,bd-roomI-104,bin,roomII,null,node103,4,3,1,root
active,1,02,dfb2d339-3365-454e-b09e-7ef8ec696aac,bd-roomI-105,bin,roomII,null,node104,5,3,1,root
active,1,02,b911466b-da93-424c-bf4f-3da1285ee928,bd-roomI-106,bin,roomII,null,node105,6,3,1,root
active,1,02,822612dc-3258-4cbf-8453-9b487ef12af5,bd-roomI-107,bin,roomII,null,node106,7,3,1,root
active,1,02,5b71bdb3-077d-4652-a9b4-e073075dd932,bd-roomI-108,bin,roomII,null,node107,8,3,1,root
active,1,02,cccb3a7e-1ed4-4f70-9258-f329d5c08ff8,bd-roomI-109,bin,roomII,null,node108,9,3,1,root
active,1,02,4da4a78d-d464-4076-8247-94908855a8ec,bd-roomI-110,bin,roomII,null,node109,10,3,1,root
active,1,02,7f9790e8-ab5f-43e7-b19c-39f77ab2eeb7,bd-roomI-111,bin,roomII,null,node110,11,3,1,root
active,1,02,bc40fa35-18eb-41ca-9c14-f13ded062b1a,bd-roomI-112,bin,roomII,null,node111,12,3,1,root
active,1,02,36be56a6-4cbd-4243-a3b2-14a91453de4d,bd-roomI-113,bin,roomII,null,node112,13,3,1,root
active,1,02,3f575cac-a7d5-496e-9359-60b2b4a619b0,bd-roomI-114,bin,roomII,null,node113,14,3,1,root
active,1,02,42c2111a-cac6-477a-ae35-114215663df3,bd-roomI-115,bin,roomII,null,node114,15,3,1,root
active,1,02,601eb799-8dc6-4e06-bec0-f7912b5b0449,bd-roomI-116,bin,roomII,null,node115,16,3,1,root
active,1,02,8cbc273f-4a3e-44c3-9aac-7698ed447d8c,bd-roomI-117,path,roomII,null,node116,17,3,1,root
active,1,02,41e22609-6bdf-46ab-a86e-cd489fa1f782,bd-roomI-118,bin,roomII,null,node117,18,3,1,root
active,1,02,dec427ef-9b98-466a-976f-0cb3af73ef9f,bd-roomI-119,bin,roomII,null,node118,19,3,1,root
active,1,02,7b8ee7a7-7d64-4f23-93b9-f10eebf1c664,bd-roomI-120,bin,roomII,null,node119,20,3,1,root
active,1,02,636709bd-98bb-41af-92b3-a57564dd14f7,bd-roomI-121,bin,roomII,null,node120,21,3,1,root
active,1,02,7ac5ecad-19da-4ba7-956c-7657cf75b7d8,bd-roomI-122,bin,roomII,null,node121,22,3,1,root
active,1,02,94227bf4-99cb-471f-8438-a0230656bb56,bd-roomI-123,bin,roomII,null,node122,23,3,1,root
active,1,02,9840d342-8120-4765-94d9-d2dc6996e03c,bd-roomI-124,bin,roomII,null,node123,24,3,1,root
active,1,02,7c764595-3572-4bd4-825e-0be9a2154b47,bd-roomI-125,bin,roomII,null,node124,25,3,1,root
active,1,02,8e11a58e-6659-478a-bb20-fff5902bb122,bd-roomI-126,bin,roomII,null,node125,26,3,1,root
active,1,02,750a703a-6b8c-476e-880a-e43cfa8f3181,bd-roomI-127,bin,roomII,null,node126,27,3,1,root
active,1,02,f5f5a1e5-a774-453b-b116-89f3148c2cb7,bd-roomI-128,bin,roomII,null,node127,28,3,1,root
active,1,02,86794de5-436c-427f-b3e2-324f44ac131b,bd-roomI-129,bin,roomII,null,node128,29,3,1,root
active,1,02,aa7ba95f-8370-4f51-a528-9f0f40d7f22e,bd-roomI-130,bin,roomII,null,node129,30,3,1,root
active,1,02,7cf31a1a-fd04-4f98-a65a-eea1f2fdb19d,bd-roomI-131,bin,roomII,null,node130,31,3,1,root
active,1,02,87a666b2-7793-49f1-8761-b52861b0ce37,bd-roomI-132,path,roomII,null,node131,32,3,1,root
active,1,02,7903d12e-52cb-4f83-ac4f-5a0331d1dfe4,bd-roomI-133,path,roomII,null,node132,0,4,1,root
active,1,02,797f2999-fe76-44c2-b056-479ce34aac1c,bd-roomI-134,path,roomII,null,node133,1,4,1,root
active,1,02,48f85e91-90fe-4eb2-9832-22fc7e86d34b,bd-roomI-135,path,roomII,null,node134,2,4,1,root
active,1,02,cc9a1192-11f4-4409-b921-e2f4f87d1392,bd-roomI-136,path,roomII,null,node135,3,4,1,root
active,1,02,d74a970a-dcb6-4e91-aee3-3f032e050217,bd-roomI-137,path,roomII,null,node136,4,4,1,root
active,1,02,6999f736-2ef6-4f36-a90a-83a99fcc1667,bd-roomI-138,path,roomII,null,node137,5,4,1,root
active,1,02,baf5ad41-a4af-4da2-8f4b-6a5d74f05964,bd-roomI-139,path,roomII,null,node138,6,4,1,root
active,1,02,12e777d2-9614-4e92-a96b-b0108deabbbd,bd-roomI-140,path,roomII,null,node139,7,4,1,root
active,1,02,9a1962fa-7375-4344-a1ab-0d77712dffbc,bd-roomI-141,path,roomII,null,node140,8,4,1,root
active,1,02,636f6787-e820-4b1c-8cb0-d23310e29665,bd-roomI-142,path,roomII,null,node141,9,4,1,root
active,1,02,51f90a01-f605-4322-a430-3b02090f8a41,bd-roomI-143,path,roomII,null,node142,10,4,1,root
active,1,02,cda1b3b3-abe4-411c-a4d3-e831210641e9,bd-roomI-144,path,roomII,null,node143,11,4,1,root
active,1,02,b88d9eaf-0b83-4a35-9b62-d67b20971f60,bd-roomI-145,path,roomII,null,node144,12,4,1,root
active,1,02,4045edff-1247-4679-8f7f-1a100e517334,bd-roomI-146,path,roomII,null,node145,13,4,1,root
active,1,02,7d03aa64-6d13-4ab8-88a6-47d8ae5c85bd,bd-roomI-147,path,roomII,null,node146,14,4,1,root
active,1,02,f95f1603-2e0c-41d8-9433-0d08e620d27b,bd-roomI-148,path,roomII,null,node147,15,4,1,root
active,1,02,4b107e97-0c4a-494c-8cfd-da1aad00579d,bd-roomI-149,path,roomII,null,node148,16,4,1,root
active,1,02,bfaeb183-1352-45d0-a754-ee480f165534,bd-roomI-150,path,roomII,null,node149,17,4,1,root
active,1,02,1517acdc-7083-4542-ab09-89a0adf6dabe,bd-roomI-151,path,roomII,null,node150,18,4,1,root
active,1,02,84bf0420-f54d-4f9e-9308-41e576f04f11,bd-roomI-152,path,roomII,null,node151,19,4,1,root
active,1,02,7c497313-7bea-4751-9a28-7827a2873b59,bd-roomI-153,path,roomII,null,node152,20,4,1,root
active,1,02,c596ea70-bf0e-46df-8480-9f1d368bdf18,bd-roomI-154,path,roomII,null,node153,21,4,1,root
active,1,02,5e545eb2-a37d-4d09-86fe-6f95bfabdf4b,bd-roomI-155,path,roomII,null,node154,22,4,1,root
active,1,02,f92a2ee9-cd54-4d6a-8fd3-11ffe41be6d5,bd-roomI-156,path,roomII,null,node155,23,4,1,root
active,1,02,b59a0e84-c01b-449c-bffc-d3dfe1082905,bd-roomI-157,path,roomII,null,node156,24,4,1,root
active,1,02,09d43c0a-df32-48b1-9283-7ad281c8da32,bd-roomI-158,path,roomII,null,node157,25,4,1,root
active,1,02,4a729b4b-10a1-411e-8aa8-3e772e6122b2,bd-roomI-159,path,roomII,null,node158,26,4,1,root
active,1,02,551d1d5e-5f74-4a48-940f-6f398c698daf,bd-roomI-160,path,roomII,null,node159,27,4,1,root
active,1,02,07198089-31de-42c7-9030-a2c76cf2b08b,bd-roomI-161,path,roomII,null,node160,28,4,1,root
active,1,02,1c6e9575-6de6-4fa4-a2ee-552b36dcf038,bd-roomI-162,path,roomII,null,node161,29,4,1,root
active,1,02,c76ad020-b862-4ed4-a38a-ff1b5a483092,bd-roomI-163,path,roomII,null,node162,30,4,1,root
active,1,02,f0558b19-17eb-4299-ac69-3dbf0ff0a4ad,bd-roomI-164,path,roomII,null,node163,31,4,1,root
active,1,02,fd321d43-bde8-481b-9075-c3ac9e59dffa,bd-roomI-165,path,roomII,null,node164,32,4,1,root
active,1,02,e20bec49-445f-4b5d-8159-227cce0c2ce7,bd-roomI-166,path,roomII,null,node165,0,5,1,root
active,1,02,a655c75d-7a27-4f81-8cd7-e956570baae9,bd-roomI-167,bin,roomII,null,node166,1,5,1,root
active,1,02,5b9f937b-36f6-471a-80a7-6efe9a2cee52,bd-roomI-168,bin,roomII,null,node167,2,5,1,root
active,1,02,d75c7fc2-5e5f-41db-9d51-46b61d69d1c5,bd-roomI-169,bin,roomII,null,node168,3,5,1,root
active,1,02,d3525c6b-a246-4d4e-b787-52ef01d083bb,bd-roomI-170,bin,roomII,null,node169,4,5,1,root
active,1,02,8ec3999d-4a15-4b41-a512-08b591437309,bd-roomI-171,bin,roomII,null,node170,5,5,1,root
active,1,02,dd5c8c32-981c-4251-880a-a730713a65e6,bd-roomI-172,bin,roomII,null,node171,6,5,1,root
active,1,02,1ca90ad9-2766-40a9-a67e-c78662f5dd11,bd-roomI-173,bin,roomII,null,node172,7,5,1,root
active,1,02,b7c30161-bce8-469d-9c52-7c5e68573ea1,bd-roomI-174,bin,roomII,null,node173,8,5,1,root
active,1,02,c64e375e-bfe9-447e-b8f7-3a75cb922ff4,bd-roomI-175,bin,roomII,null,node174,9,5,1,root
active,1,02,0c9f35a6-9faf-4d1b-9ae9-f44f4f9d5ed3,bd-roomI-176,bin,roomII,null,node175,10,5,1,root
active,1,02,a56fb17e-b6dc-483c-92c8-877ab1c9c36c,bd-roomI-177,bin,roomII,null,node176,11,5,1,root
active,1,02,d926c5d7-35a5-4947-b467-abffd1a338b8,bd-roomI-178,bin,roomII,null,node177,12,5,1,root
active,1,02,a483da43-9932-4211-bead-f24ff9acf202,bd-roomI-179,bin,roomII,null,node178,13,5,1,root
active,1,02,3bc86cbe-b335-44f9-baed-439f6f69d46c,bd-roomI-180,bin,roomII,null,node179,14,5,1,root
active,1,02,1d1e5df7-0c65-4286-8c5f-04d5b6842fb2,bd-roomI-181,bin,roomII,null,node180,15,5,1,root
active,1,02,b8821d27-3e13-47c7-b796-b9b1501a0d79,bd-roomI-182,bin,roomII,null,node181,16,5,1,root
active,1,02,914a025b-f386-4f35-b53f-87b2275a24f2,bd-roomI-183,path,roomII,null,node182,17,5,1,root
active,1,02,949a6c9a-e15f-46ea-a3e2-8dc7d0b4cbba,bd-roomI-184,bin,roomII,null,node183,18,5,1,root
active,1,02,ad38e7d6-0822-46fd-b1c8-a7ee86271b75,bd-roomI-185,bin,roomII,null,node184,19,5,1,root
active,1,02,ba081609-6578-4016-bde7-0e1ba303f6ff,bd-roomI-186,bin,roomII,null,node185,20,5,1,root
active,1,02,e298c82e-4ce5-406c-b7bc-d4f115a3ce54,bd-roomI-187,bin,roomII,null,node186,21,5,1,root
active,1,02,e7ee8fcb-89a3-46e7-bff8-921e139f6ba0,bd-roomI-188,bin,roomII,null,node187,22,5,1,root
active,1,02,846ba52b-d63a-43dd-bfdf-a6aea3ce2947,bd-roomI-189,bin,roomII,null,node188,23,5,1,root
active,1,02,7ce0d15c-3876-4fda-b34f-4096802f7116,bd-roomI-190,bin,roomII,null,node189,24,5,1,root
active,1,02,9f75f8b9-e0ce-42ef-8866-68d87d274a34,bd-roomI-191,bin,roomII,null,node190,25,5,1,root
active,1,02,35f457f0-72e6-4ee8-a5aa-0e99c7157fd4,bd-roomI-192,bin,roomII,null,node191,26,5,1,root
active,1,02,4cf914cf-cbf0-4648-9a83-d4dd0d962c73,bd-roomI-193,bin,roomII,null,node192,27,5,1,root
active,1,02,1d583e24-1300-4ed2-b1d8-5104264a4bb1,bd-roomI-194,bin,roomII,null,node193,28,5,1,root
active,1,02,223737ce-9af6-4e09-a100-007390581f1f,bd-roomI-195,bin,roomII,null,node194,29,5,1,root
active,1,02,2f0fb93e-c2e2-4f68-8dc0-47b4c3420bb3,bd-roomI-196,bin,roomII,null,node195,30,5,1,root
active,1,02,7f949f80-8f48-42b1-8229-6cb7340e7660,bd-roomI-197,bin,roomII,null,node196,31,5,1,root
active,1,02,06b28c6f-e0fd-4a78-ab88-fffa1aa62bf1,bd-roomI-198,path,roomII,null,node197,32,5,1,root
active,1,02,281959a0-4304-4de3-a392-fca6eb86ab18,bd-roomI-199,path,roomII,null,node198,0,6,1,root
active,1,02,d45910de-e0c0-4f23-a8f4-6d86a986ee18,bd-roomI-200,bin,roomII,null,node199,1,6,1,root
active,1,02,09046cf7-f77d-475c-b419-5f13888295d0,bd-roomI-201,bin,roomII,null,node200,2,6,1,root
active,1,02,075add7e-bac2-454f-96f1-aa64532ca282,bd-roomI-202,bin,roomII,null,node201,3,6,1,root
active,1,02,f9356951-5a70-468d-9ab5-ef414153f3a3,bd-roomI-203,bin,roomII,null,node202,4,6,1,root
active,1,02,e6f74d07-43ba-412c-ac30-bdbd9c8dcdaf,bd-roomI-204,bin,roomII,null,node203,5,6,1,root
active,1,02,c7b86fb9-05dd-477d-8fb0-01c6b749b53f,bd-roomI-205,bin,roomII,null,node204,6,6,1,root
active,1,02,06031d09-9dad-4ca3-9aa5-eabdbb7c8061,bd-roomI-206,bin,roomII,null,node205,7,6,1,root
active,1,02,c406ad65-f8f6-4c82-9e1b-d1d256d183ba,bd-roomI-207,bin,roomII,null,node206,8,6,1,root
active,1,02,45807236-84b8-4087-b234-480668a8569d,bd-roomI-208,bin,roomII,null,node207,9,6,1,root
active,1,02,a18eb033-713a-4a41-b53e-76e3d23849d7,bd-roomI-209,bin,roomII,null,node208,10,6,1,root
active,1,02,dda430c4-44f3-4a51-999a-5d991e16ae21,bd-roomI-210,bin,roomII,null,node209,11,6,1,root
active,1,02,e6b7a5f0-6fba-48e9-b3e6-e726a964641b,bd-roomI-211,bin,roomII,null,node210,12,6,1,root
active,1,02,1bd4cda7-4e24-409f-a549-6c232660f0d4,bd-roomI-212,bin,roomII,null,node211,13,6,1,root
active,1,02,0900f338-f149-4f6d-80e8-88d6c13ea6a3,bd-roomI-213,bin,roomII,null,node212,14,6,1,root
active,1,02,9a411f0b-4f9b-450e-8915-7c999d6c7dda,bd-roomI-214,bin,roomII,null,node213,15,6,1,root
active,1,02,9a09af56-0eb8-4283-8845-43013d273d11,bd-roomI-215,bin,roomII,null,node214,16,6,1,root
active,1,02,8f6d12a3-9335-4c01-9b3a-a1e9ab26b982,bd-roomI-216,path,roomII,null,node215,17,6,1,root
active,1,02,15fdf455-5bb6-40f6-8636-acd6e757b5b7,bd-roomI-217,bin,roomII,null,node216,18,6,1,root
active,1,02,9f88cab8-1d9c-4fdf-9832-f1b7b9b42bc9,bd-roomI-218,bin,roomII,null,node217,19,6,1,root
active,1,02,ac49289b-4aa0-47c4-81a2-e3c2d5f5ef37,bd-roomI-219,bin,roomII,null,node218,20,6,1,root
active,1,02,a8209914-2508-4640-a0ad-04df602340f7,bd-roomI-220,bin,roomII,null,node219,21,6,1,root
active,1,02,d6bbbb91-3833-405c-8432-09ec29fd1239,bd-roomI-221,bin,roomII,null,node220,22,6,1,root
active,1,02,75a71780-cdca-4aaf-8ed9-dc3ff4fa34c1,bd-roomI-222,bin,roomII,null,node221,23,6,1,root
active,1,02,39ca3de8-f31e-49fb-864d-7ea9f7cd869d,bd-roomI-223,bin,roomII,null,node222,24,6,1,root
active,1,02,ccd19b8f-d2d9-46b5-9830-a544456bbc82,bd-roomI-224,bin,roomII,null,node223,25,6,1,root
active,1,02,e10f9fd6-dee3-4244-afab-1bc3550c3147,bd-roomI-225,bin,roomII,null,node224,26,6,1,root
